Year,Month,EFPG_code,Number_stores,Price_index_GEKS,Purchase_dollars_unwtd,Purchase_dollars_wtd,Purchase_grams_unwtd,Purchase_grams_wtd,Unit_value_mean_unwtd,Unit_value_mean_wtd,Unit_value_se_wtd
2012,3,21525,2213.4,1.609137439,837730.7624,1339598.858,119577990.3,203169161.8,0.840553604,0.820877312,0.047811489
2012,3,21550,3738.666667,1.016819466,5820191.688,8457308.842,1680733114,2440238425,0.351615999,0.355841067,0.004169035
2012,3,21575,6706.733333,1.052879093,6151632.41,9308741.469,2900870256,4359296205,0.21514489,0.214586467,0.003238293
2012,3,23000,2862.8,1.028832871,26701757.64,38278592.92,5993458514,8508339716,0.442606948,0.459917241,0.009289651
2012,3,23075,6651.6,1.036137787,7408597.422,10901666.7,3095767752,4494871503,0.246182347,0.24664865,0.002671915
2012,3,24500,2715.666667,1.001437579,11993138.37,16474853.11,4541547576,6310144860,0.261597739,0.259618353,0.003841224
2012,3,24525,3255.666667,1.012108589,8273105.754,11442058.93,2345295129,3259688928,0.357922727,0.356884442,0.002665733
2012,3,24550,2640,1.014670683,375074.9707,504020.8996,92503049.62,121277380,0.401434686,0.414637921,0.006401601
2012,3,24575,5444.066667,1.006741728,1053047.399,1594479.914,384611652.5,579098577.3,0.276993422,0.281704022,0.003691242
2012,3,26000,2662.866667,0.98335425,11774056.84,16097898.91,2623272380,3674120663,0.458212807,0.456668376,0.010476326
2012,3,26525,3243.666667,1.009018859,22736725.08,31036531.97,2908963087,3907401030,0.776686605,0.79090223,0.013655457
2012,3,26550,3707.4,1.018150026,3830769.405,5410331.008,920248374.2,1294785697,0.416761032,0.420976545,0.005175514
2012,3,26575,3977.2,1.077031968,803586.3194,1249426.242,332729207.1,513280856.6,0.25553579,0.257791156,0.00328314
2012,3,27500,5829.733333,1.074060051,2594154.446,3693068.697,848031751.5,1191573721,0.315417354,0.315904396,0.005451477
2012,3,27550,2926.8,0.979556195,1001985.733,1340271.965,190832705.1,261884186.9,0.540668305,0.517671099,0.006859691
2012,3,27575,6425.333333,1.028657126,7963976.398,12029157.44,3476099504,5216739822,0.231157603,0.233055013,0.001350728
2012,3,29000,3867.2,0.95361317,67190924,95348213.36,22879265468,32785263910,0.291156458,0.296792266,0.005200097
2012,3,29025,3837.8,1.005778994,21189794.17,32749392.08,3089940013,4837921052,0.690755781,0.679371669,0.013003758
2012,3,29050,3873.266667,1.017071055,9954080.001,14053050.36,2391359263,3354178795,0.414220722,0.415188421,0.006594208
2012,3,29075,7781.8,0.99512098,24409805.05,36458158.73,6791328278,10086435746,0.379961324,0.371693909,0.006006906
2012,3,30000,4635.133333,1.014704726,193507730.5,274038749.4,71981717765,1.02521E+11,0.271618888,0.272322893,0.003420067
2012,3,30025,3849.2,0.869220871,13240558.24,17797724.61,2056632886,2769696541,0.635603288,0.623267251,0.010580521
2012,3,30050,3895.466667,0.942120225,4337737.333,6074162.984,614434607.1,865403608.1,0.701290866,0.68241629,0.01266357
2012,3,30075,7897.8,0.974306351,22975994.5,34382578.83,6439102880,9545270350,0.359710572,0.362502634,0.003235294
2012,3,30090,7522.933333,0.935641867,8407536.016,11884643.75,900534941.3,1268534774,0.936074587,0.923328009,0.014696554
2012,3,35000,8070.133333,0.959133924,35203257.45,53814134.86,19576375636,29065586646,0.179823443,0.186509645,0.000976009
2012,3,35050,2902,0.914396982,1452971.508,2306699.624,1094869568,1713643436,0.135599532,0.136373169,0.001330852
2012,3,35075,8397.866667,0.983865194,28614436.9,47149473,15152185862,23155142167,0.188422875,0.200335791,0.001749554
2012,3,40000,8275.066667,1.030180365,26087785.28,47759576.52,22470425742,41213381024,0.114346937,0.11508372,0.00115151
2012,3,40030,7750.333333,0.992594991,15074648.31,22767151.19,2984059088,4423121307,0.505736438,0.513376289,0.005319538
